sample	segment_count	included
TCGA-13-0791-01	1071	yes
TCGA-13-0791-02	926	yes
TCGA-13-0913-01	279	yes
TCGA-13-1489-02	300	yes
TCGA-13-1817-02	122	yes
TCGA-13-1819-02	334	yes
TCGA-13-2061-01	450	yes
TCGA-13-A5FT-01	939	yes
TCGA-13-A5FU-01	254	yes
TCGA-24-1551-01	1059	yes
TCGA-24-1560-01	74	yes
TCGA-24-1852-01	316	yes
TCGA-24-1920-01	1284	yes
TCGA-24-1924-01	338	yes
TCGA-29-1692-02	397	yes
TCGA-29-1704-02	560	yes
TCGA-29-1705-02	261	yes
TCGA-29-1707-01	271	yes
TCGA-29-1710-01	158	yes
TCGA-29-1770-02	190	yes
TCGA-29-A5NZ-01	400	yes
TCGA-30-1856-01	614	yes
TCGA-36-2529-01	276	yes
TCGA-36-2538-01	229	yes
TCGA-36-2545-01	229	yes
TCGA-3P-A9WA-01	319	yes
TCGA-42-2588-01	646	yes
TCGA-42-2591-01	383	yes
TCGA-59-A5PD-01	377	yes
TCGA-5X-AA5U-01	220	yes
TCGA-61-1721-01	60	yes
TCGA-61-1916-02	1009	yes
TCGA-61-1919-01	317	yes
TCGA-61-2008-02	247	yes
TCGA-61-2095-02	1164	yes
TCGA-61-2610-02	282	yes
TCGA-61-2611-02	146	yes
TCGA-61-2614-01	199	yes
TCGA-72-4231-01	411	yes
TCGA-72-4232-01	134	yes
TCGA-72-4233-01	245	yes
TCGA-72-4234-01	304	yes
TCGA-72-4235-01	308	yes
TCGA-72-4236-01	243	yes
TCGA-72-4237-01	184	yes
TCGA-72-4238-01	199	yes
TCGA-72-4240-01	283	yes
TCGA-72-4241-01	244	yes
TCGA-OY-A56P-01	224	yes
TCGA-OY-A56Q-01	134	yes
TCGA-VG-A8LO-01	427	yes
TCGA-WR-A838-01	186	yes
TCGA-04-1331-01	220	yes
TCGA-04-1332-01	166	yes
TCGA-04-1335-01	191	yes
TCGA-04-1336-01	188	yes
TCGA-04-1337-01	108	yes
TCGA-04-1338-01	456	yes
TCGA-04-1341-01	316	yes
TCGA-04-1342-01	198	yes
TCGA-04-1343-01	195	yes
TCGA-04-1346-01	189	yes
TCGA-04-1347-01	232	yes
TCGA-04-1348-01	645	yes
TCGA-04-1349-01	138	yes
TCGA-04-1350-01	128	yes
TCGA-04-1351-01	197	yes
TCGA-04-1353-01	292	yes
TCGA-04-1356-01	347	yes
TCGA-04-1357-01	121	yes
TCGA-04-1360-01	249	yes
TCGA-04-1361-01	218	yes
TCGA-04-1362-01	248	yes
TCGA-04-1364-01	293	yes
TCGA-04-1365-01	301	yes
TCGA-04-1367-01	176	yes
TCGA-04-1371-01	331	yes
TCGA-04-1514-01	229	yes
TCGA-04-1516-01	362	yes
TCGA-04-1517-01	419	yes
TCGA-04-1519-01	153	yes
TCGA-04-1525-01	270	yes
TCGA-04-1530-01	146	yes
TCGA-04-1536-01	347	yes
TCGA-04-1542-01	226	yes
TCGA-04-1638-01	197	yes
TCGA-04-1644-01	233	yes
TCGA-04-1646-01	205	yes
TCGA-04-1648-01	148	yes
TCGA-04-1649-01	267	yes
TCGA-04-1651-01	260	yes
TCGA-04-1652-01	151	yes
TCGA-04-1654-01	254	yes
TCGA-04-1655-01	135	yes
TCGA-09-0364-01	352	yes
TCGA-09-0365-01	118	yes
TCGA-09-0366-01	160	yes
TCGA-09-0367-01	347	yes
TCGA-09-0369-01	278	yes
TCGA-09-1659-01	323	yes
TCGA-09-1661-01	251	yes
TCGA-09-1662-01	354	yes
TCGA-09-1664-01	62	yes
TCGA-09-1665-01	801	yes
TCGA-09-1666-01	282	yes
TCGA-09-1667-01	330	yes
TCGA-09-1668-01	181	yes
TCGA-09-1669-01	308	yes
TCGA-09-1670-01	74	yes
TCGA-09-1672-01	70	yes
TCGA-09-1673-01	1014	yes
TCGA-09-1674-01	271	yes
TCGA-09-1675-01	292	yes
TCGA-09-2043-01	475	yes
TCGA-09-2044-01	508	yes
TCGA-09-2049-01	192	yes
TCGA-09-2050-01	315	yes
TCGA-09-2051-01	398	yes
TCGA-09-2053-01	293	yes
TCGA-09-2054-01	386	yes
TCGA-09-2055-01	168	yes
TCGA-10-0925-01	149	yes
TCGA-10-0926-01	119	yes
TCGA-10-0927-01	178	yes
TCGA-10-0928-01	355	yes
TCGA-10-0930-01	379	yes
TCGA-10-0931-01	180	yes
TCGA-10-0933-01	152	yes
TCGA-10-0934-01	326	yes
TCGA-10-0935-01	162	yes
TCGA-10-0936-01	383	yes
TCGA-10-0937-01	194	yes
TCGA-10-0938-01	231	yes
TCGA-13-0714-01	299	yes
TCGA-13-0717-01	314	yes
TCGA-13-0720-01	138	yes
TCGA-13-0723-01	346	yes
TCGA-13-0724-01	525	yes
TCGA-13-0725-01	151	yes
TCGA-13-0726-01	193	yes
TCGA-13-0727-01	228	yes
TCGA-13-0730-01	226	yes
TCGA-13-0751-01	349	yes
TCGA-13-0755-01	247	yes
TCGA-13-0757-01	329	yes
TCGA-13-0758-01	297	yes
TCGA-13-0760-01	847	yes
TCGA-13-0761-01	254	yes
TCGA-13-0762-01	260	yes
TCGA-13-0764-01	517	yes
TCGA-13-0766-01	327	yes
TCGA-13-0768-01	155	yes
TCGA-13-0792-01	452	yes
TCGA-13-0793-01	193	yes
TCGA-13-0794-01	606	yes
TCGA-13-0795-01	198	yes
TCGA-13-0797-01	305	yes
TCGA-13-0799-01	234	yes
TCGA-13-0800-01	247	yes
TCGA-13-0801-01	470	yes
TCGA-13-0802-01	286	yes
TCGA-13-0803-01	538	yes
TCGA-13-0804-01	194	yes
TCGA-13-0805-01	150	yes
TCGA-13-0807-01	430	yes
TCGA-13-0883-01	122	yes
TCGA-13-0884-01	106	yes
TCGA-13-0885-01	183	yes
TCGA-13-0886-01	169	yes
TCGA-13-0887-01	337	yes
TCGA-13-0888-01	379	yes
TCGA-13-0889-01	242	yes
TCGA-13-0890-01	219	yes
TCGA-13-0891-01	477	yes
TCGA-13-0893-01	473	yes
TCGA-13-0897-01	258	yes
TCGA-13-0899-01	169	yes
TCGA-13-0900-01	333	yes
TCGA-13-0901-01	335	yes
TCGA-13-0903-01	245	yes
TCGA-13-0904-01	494	yes
TCGA-13-0905-01	265	yes
TCGA-13-0906-01	167	yes
TCGA-13-0908-01	181	yes
TCGA-13-0910-01	288	yes
TCGA-13-0911-01	201	yes
TCGA-13-0912-01	181	yes
TCGA-13-0913-02	352	yes
TCGA-13-0916-01	265	yes
TCGA-13-0919-01	141	yes
TCGA-13-0920-01	476	yes
TCGA-13-0921-01	367	yes
TCGA-13-0923-01	301	yes
TCGA-13-0924-01	102	yes
TCGA-13-1403-01	256	yes
TCGA-13-1404-01	256	yes
TCGA-13-1405-01	420	yes
TCGA-13-1407-01	259	yes
TCGA-13-1408-01	208	yes
TCGA-13-1409-01	131	yes
TCGA-13-1410-01	283	yes
TCGA-13-1411-01	143	yes
TCGA-13-1412-01	167	yes
TCGA-13-1477-01	73	yes
TCGA-13-1481-01	213	yes
TCGA-13-1482-01	225	yes
TCGA-13-1483-01	175	yes
TCGA-13-1484-01	141	yes
TCGA-13-1485-01	79	yes
TCGA-13-1487-01	469	yes
TCGA-13-1488-01	322	yes
TCGA-13-1489-01	375	yes
TCGA-13-1491-01	222	yes
TCGA-13-1492-01	166	yes
TCGA-13-1494-01	334	yes
TCGA-13-1495-01	505	yes
TCGA-13-1496-01	314	yes
TCGA-13-1497-01	506	yes
TCGA-13-1498-01	426	yes
TCGA-13-1499-01	171	yes
TCGA-13-1500-01	157	yes
TCGA-13-1501-01	395	yes
TCGA-13-1504-01	312	yes
TCGA-13-1505-01	277	yes
TCGA-13-1506-01	522	yes
TCGA-13-1507-01	260	yes
