sample	segment_count	included
TCGA-3N-A9WB-06	73	yes
TCGA-3N-A9WC-06	139	yes
TCGA-3N-A9WD-06	63	yes
TCGA-BF-A1PU-01	112	yes
TCGA-BF-A1PV-01	61	yes
TCGA-BF-A1PX-01	40	yes
TCGA-BF-A1PZ-01	70	yes
TCGA-BF-A1Q0-01	237	yes
TCGA-BF-A3DJ-01	94	yes
TCGA-BF-A3DL-01	66	yes
TCGA-BF-A3DM-01	115	yes
TCGA-BF-A3DN-01	66	yes
TCGA-BF-A5EO-01	79	yes
TCGA-BF-A5EP-01	156	yes
TCGA-BF-A5EQ-01	335	yes
TCGA-BF-A5ER-01	88	yes
TCGA-BF-A5ES-01	126	yes
TCGA-BF-A9VF-01	156	yes
TCGA-BF-AAOU-01	48	yes
TCGA-BF-AAOX-01	87	yes
TCGA-BF-AAP0-06	65	yes
TCGA-BF-AAP1-01	114	yes
TCGA-BF-AAP2-01	115	yes
TCGA-BF-AAP4-01	110	yes
TCGA-BF-AAP6-01	257	yes
TCGA-BF-AAP7-01	71	yes
TCGA-BF-AAP8-01	60	yes
TCGA-D3-A2JE-06	121	yes
TCGA-D3-A3C8-06	28	yes
TCGA-D3-A51E-06	169	yes
TCGA-D3-A51F-06	36	yes
TCGA-D3-A51G-06	94	yes
TCGA-D3-A51H-06	55	yes
TCGA-D3-A51J-06	62	yes
TCGA-D3-A51K-06	224	yes
TCGA-D3-A51N-06	813	yes
TCGA-D3-A51R-06	88	yes
TCGA-D3-A51T-06	89	yes
TCGA-D3-A5GT-01	91	yes
TCGA-D3-A8GB-06	139	yes
TCGA-D3-A8GC-06	119	yes
TCGA-D3-A8GD-06	82	yes
TCGA-D3-A8GE-06	49	yes
TCGA-D3-A8GI-06	136	yes
TCGA-D3-A8GJ-06	82	yes
TCGA-D3-A8GK-06	81	yes
TCGA-D3-A8GL-06	67	yes
TCGA-D3-A8GM-06	73	yes
TCGA-D3-A8GN-06	86	yes
TCGA-D3-A8GO-06	68	yes
TCGA-D3-A8GP-06	126	yes
TCGA-D3-A8GQ-06	55	yes
TCGA-D3-A8GR-06	182	yes
TCGA-D3-A8GS-06	82	yes
TCGA-D3-A8GV-06	139	yes
TCGA-D9-A1X3-06	201	yes
TCGA-D9-A3Z1-06	52	yes
TCGA-D9-A3Z4-01	72	yes
TCGA-D9-A4Z2-01	173	yes
TCGA-D9-A4Z3-01	379	yes
TCGA-D9-A4Z5-01	503	yes
TCGA-D9-A4Z6-06	187	yes
TCGA-D9-A6EG-06	65	yes
TCGA-DA-A3F2-06	36	yes
TCGA-DA-A95V-06	264	yes
TCGA-DA-A95W-06	75	yes
TCGA-DA-A95X-06	74	yes
TCGA-DA-A95Y-06	151	yes
TCGA-DA-A95Z-06	102	yes
TCGA-DA-A960-01	48	yes
TCGA-EB-A1NK-01	112	yes
TCGA-EB-A24C-01	135	yes
TCGA-EB-A24D-01	83	yes
TCGA-EB-A299-01	49	yes
TCGA-EB-A3HV-01	97	yes
TCGA-EB-A3XB-01	54	yes
TCGA-EB-A3XC-01	159	yes
TCGA-EB-A3XD-01	37	yes
TCGA-EB-A3XE-01	224	yes
TCGA-EB-A3XF-01	129	yes
TCGA-EB-A3Y6-01	159	yes
TCGA-EB-A3Y7-01	116	yes
TCGA-EB-A41A-01	67	yes
TCGA-EB-A41B-01	171	yes
TCGA-EB-A42Y-01	190	yes
TCGA-EB-A42Z-01	352	yes
TCGA-EB-A430-01	63	yes
TCGA-EB-A431-01	234	yes
