sample	segment_count	included
TCGA-05-5425-01	105	yes
TCGA-44-A479-01	88	yes
TCGA-49-AAR0-01	201	yes
TCGA-49-AAR2-01	135	yes
TCGA-50-5066-02	256	yes
TCGA-50-5946-02	263	yes
TCGA-55-8302-01	61	yes
TCGA-62-8398-01	118	yes
TCGA-L4-A4E6-01	29	yes
TCGA-L9-A743-01	85	yes
TCGA-MP-A4SV-01	95	yes
TCGA-MP-A4SY-01	38	yes
TCGA-05-4244-01	143	yes
TCGA-05-4249-01	75	yes
TCGA-05-4250-01	107	yes
TCGA-05-4382-01	146	yes
TCGA-05-4384-01	48	yes
TCGA-05-4389-01	208	yes
TCGA-05-4390-01	150	yes
TCGA-05-4395-01	162	yes
TCGA-05-4396-01	168	yes
TCGA-05-4397-01	200	yes
TCGA-05-4398-01	199	yes
TCGA-05-4402-01	88	yes
TCGA-05-4403-01	69	yes
TCGA-05-4405-01	119	yes
TCGA-05-4410-01	76	yes
TCGA-05-4415-01	151	yes
TCGA-05-4417-01	67	yes
TCGA-05-4418-01	54	yes
TCGA-05-4420-01	211	yes
TCGA-05-4422-01	226	yes
TCGA-05-4424-01	93	yes
TCGA-05-4425-01	60	yes
TCGA-05-4426-01	119	yes
TCGA-05-4427-01	161	yes
TCGA-05-4430-01	116	yes
TCGA-05-4432-01	206	yes
TCGA-05-4433-01	104	yes
TCGA-05-4434-01	164	yes
TCGA-05-5423-01	97	yes
TCGA-05-5428-01	177	yes
TCGA-05-5429-01	72	yes
TCGA-05-5715-01	183	yes
TCGA-35-3615-01	101	yes
TCGA-35-4122-01	113	yes
TCGA-35-4123-01	117	yes
TCGA-35-5375-01	219	yes
TCGA-38-4625-01	175	yes
TCGA-38-4626-01	65	yes
TCGA-38-4627-01	68	yes
TCGA-38-4628-01	260	yes
TCGA-38-4631-01	261	yes
TCGA-38-4632-01	193	yes
TCGA-38-6178-01	174	yes
TCGA-38-7271-01	40	yes
TCGA-38-A44F-01	28	yes
TCGA-44-2655-01	56	yes
TCGA-44-2657-01	90	yes
TCGA-44-2659-01	109	yes
TCGA-44-3396-01	76	yes
TCGA-44-3398-01	42	yes
TCGA-44-3919-01	96	yes
TCGA-44-5643-01	152	yes
TCGA-44-5644-01	552	yes
TCGA-44-6144-01	100	yes
TCGA-44-6145-01	50	yes
TCGA-44-6148-01	48	yes
TCGA-44-6774-01	113	yes
TCGA-44-6776-01	50	yes
TCGA-44-6777-01	52	yes
TCGA-44-6778-01	249	yes
TCGA-44-6779-01	131	yes
TCGA-44-7659-01	59	yes
TCGA-44-7660-01	256	yes
TCGA-44-7661-01	44	yes
TCGA-44-7662-01	116	yes
TCGA-44-7667-01	214	yes
TCGA-44-7669-01	289	yes
TCGA-44-7670-01	633	yes
TCGA-44-7671-01	90	yes
TCGA-44-7672-01	120	yes
TCGA-44-8117-01	184	yes
TCGA-44-8119-01	228	yes
TCGA-44-8120-01	114	yes
TCGA-44-A47A-01	47	yes
TCGA-44-A47B-01	178	yes
TCGA-44-A47F-01	59	yes
TCGA-44-A47G-01	34	yes
TCGA-44-A4SS-01	58	yes
TCGA-44-A4SU-01	139	yes
TCGA-49-4486-01	154	yes
TCGA-49-4487-01	92	yes
TCGA-49-4488-01	273	yes
TCGA-49-4490-01	138	yes
TCGA-49-4494-01	107	yes
TCGA-49-4501-01	196	yes
TCGA-49-4505-01	166	yes
TCGA-49-4506-01	81	yes
TCGA-49-4507-01	204	yes
TCGA-49-4510-01	134	yes
TCGA-49-4512-01	140	yes
TCGA-49-4514-01	169	yes
TCGA-49-6742-01	92	yes
TCGA-49-6743-01	125	yes
TCGA-49-6744-01	117	yes
TCGA-49-6745-01	95	yes
TCGA-49-6761-01	68	yes
TCGA-49-6767-01	155	yes
TCGA-49-AAQV-01	111	yes
TCGA-49-AAR3-01	49	yes
TCGA-49-AAR4-01	76	yes
TCGA-49-AAR9-01	390	yes
TCGA-49-AARE-01	205	yes
TCGA-49-AARN-01	90	yes
TCGA-49-AARO-01	170	yes
TCGA-49-AARQ-01	186	yes
TCGA-49-AARR-01	69	yes
TCGA-4B-A93V-01	156	yes
TCGA-50-5044-01	50	yes
TCGA-50-5045-01	60	yes
TCGA-50-5049-01	105	yes
TCGA-50-5051-01	73	yes
TCGA-50-5055-01	74	yes
TCGA-50-5066-01	89	yes
TCGA-50-5068-01	73	yes
TCGA-50-5072-01	59	yes
TCGA-50-5930-01	212	yes
TCGA-50-5931-01	179	yes
TCGA-50-5932-01	145	yes
TCGA-50-5933-01	120	yes
TCGA-50-5935-01	116	yes
TCGA-50-5936-01	149	yes
TCGA-50-5939-01	93	yes
TCGA-50-5941-01	134	yes
TCGA-50-5942-01	48	yes
TCGA-50-5944-01	266	yes
TCGA-50-5946-01	120	yes
TCGA-50-6590-01	94	yes
TCGA-50-6591-01	257	yes
TCGA-50-6592-01	141	yes
TCGA-50-6593-01	106	yes
TCGA-50-6594-01	257	yes
TCGA-50-6595-01	55	yes
TCGA-50-6597-01	248	yes
TCGA-50-6673-01	174	yes
TCGA-50-7109-01	204	yes
TCGA-50-8457-01	35	yes
TCGA-50-8459-01	41	yes
TCGA-50-8460-01	62	yes
TCGA-53-7624-01	376	yes
TCGA-53-7626-01	86	yes
TCGA-53-7813-01	88	yes
TCGA-53-A4EZ-01	163	yes
TCGA-55-1592-01	215	yes
TCGA-55-1594-01	157	yes
TCGA-55-1595-01	223	yes
TCGA-55-1596-01	112	yes
TCGA-55-5899-01	308	yes
TCGA-55-6543-01	59	yes
TCGA-55-6642-01	75	yes
TCGA-55-6712-01	120	yes
TCGA-55-6968-01	203	yes
TCGA-55-6969-01	115	yes
TCGA-55-6970-01	93	yes
TCGA-55-6971-01	109	yes
TCGA-55-6972-01	127	yes
TCGA-55-6975-01	119	yes
TCGA-55-6978-01	67	yes
TCGA-55-6979-01	75	yes
TCGA-55-6980-01	50	yes
TCGA-55-6981-01	93	yes
TCGA-55-6982-01	106	yes
TCGA-55-6983-01	42	yes
TCGA-55-6984-01	87	yes
TCGA-55-6985-01	84	yes
TCGA-55-6986-01	48	yes
TCGA-55-6987-01	90	yes
TCGA-55-7281-01	67	yes
TCGA-55-7283-01	158	yes
TCGA-55-7284-01	44	yes
TCGA-55-7570-01	116	yes
TCGA-55-7573-01	130	yes
TCGA-55-7574-01	121	yes
TCGA-55-7576-01	227	yes
TCGA-55-7724-01	38	yes
TCGA-55-7725-01	90	yes
TCGA-55-7726-01	82	yes
TCGA-55-7727-01	114	yes
TCGA-55-7728-01	71	yes
TCGA-55-7815-01	74	yes
TCGA-55-7903-01	226	yes
TCGA-55-7907-01	188	yes
TCGA-55-7910-01	223	yes
TCGA-55-7911-01	77	yes
TCGA-55-7913-01	114	yes
TCGA-55-7914-01	92	yes
TCGA-55-7994-01	284	yes
TCGA-55-7995-01	245	yes
TCGA-55-8085-01	268	yes
TCGA-55-8087-01	78	yes
TCGA-55-8089-01	100	yes
TCGA-55-8090-01	51	yes
TCGA-55-8091-01	44	yes
TCGA-55-8092-01	127	yes
TCGA-55-8094-01	247	yes
TCGA-55-8096-01	61	yes
TCGA-55-8097-01	65	yes
TCGA-55-8203-01	92	yes
TCGA-55-8204-01	68	yes
TCGA-55-8205-01	68	yes
TCGA-55-8206-01	84	yes
TCGA-55-8207-01	79	yes
TCGA-55-8208-01	47	yes
TCGA-55-8299-01	57	yes
TCGA-55-8301-01	71	yes
TCGA-55-8505-01	66	yes
TCGA-55-8506-01	364	yes
TCGA-55-8507-01	211	yes
TCGA-55-8508-01	106	yes
TCGA-55-8510-01	72	yes
TCGA-55-8511-01	186	yes
TCGA-55-8512-01	70	yes
TCGA-55-8513-01	23	yes
TCGA-55-8514-01	128	yes
TCGA-55-8614-01	89	yes
TCGA-55-8615-01	229	yes
TCGA-55-8616-01	81	yes
TCGA-55-8619-01	35	yes
TCGA-55-8620-01	203	yes
TCGA-55-8621-01	35	yes
