sample	segment_count	included
P-0000012-T03-IM3	59	yes
P-0000082-T01-IM3	45	yes
P-0000208-T01-IM3	53	yes
P-0000235-T01-IM3	43	yes
P-0000299-T01-IM3	38	yes
P-0000302-T02-IM6	31	yes
P-0000363-T01-IM3	64	yes
P-0000458-T01-IM3	38	yes
P-0000563-T01-IM3	55	yes
P-0000604-T01-IM3	35	yes
P-0000670-T01-IM3	28	yes
P-0000681-T02-IM5	41	yes
P-0000689-T02-IM5	38	yes
P-0000731-T01-IM3	62	yes
P-0000826-T01-IM3	25	yes
P-0000894-T01-IM3	77	yes
P-0000913-T02-IM5	51	yes
P-0000978-T02-IM5	60	yes
P-0001093-T01-IM3	41	yes
P-0001121-T01-IM3	42	yes
P-0001171-T01-IM3	75	yes
P-0001340-T01-IM3	36	yes
P-0001365-T02-IM3	40	yes
P-0001385-T01-IM3	36	yes
P-0001633-T01-IM3	62	yes
P-0001665-T01-IM3	35	yes
P-0001830-T01-IM3	38	yes
P-0001836-T01-IM3	84	yes
P-0001867-T01-IM3	73	yes
P-0001955-T01-IM3	75	yes
P-0001977-T01-IM3	26	yes
P-0002028-T01-IM3	61	yes
P-0002151-T01-IM3	51	yes
P-0002160-T01-IM3	85	yes
P-0002225-T02-IM5	54	yes
P-0002247-T01-IM3	55	yes
P-0002252-T01-IM3	57	yes
P-0002295-T01-IM3	35	yes
P-0002320-T01-IM3	43	yes
P-0002351-T01-IM3	34	yes
P-0002444-T01-IM3	54	yes
P-0002485-T01-IM3	34	yes
P-0002546-T01-IM3	40	yes
P-0002559-T01-IM3	39	yes
P-0002637-T01-IM3	60	yes
P-0002639-T01-IM3	31	yes
P-0002731-T02-IM5	70	yes
P-0002751-T01-IM3	28	yes
P-0002758-T01-IM3	71	yes
P-0002766-T01-IM3	34	yes
P-0002794-T02-IM5	53	yes
P-0002806-T01-IM3	41	yes
P-0002826-T01-IM3	51	yes
P-0002874-T01-IM3	61	yes
P-0002890-T01-IM3	52	yes
P-0002905-T01-IM3	43	yes
P-0002912-T01-IM3	56	yes
P-0002917-T01-IM3	82	yes
P-0002921-T01-IM3	31	yes
P-0002965-T01-IM3	66	yes
P-0002969-T01-IM3	49	yes
P-0003017-T01-IM3	29	yes
